Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	LogCumulativeCost	CostRate	AverageEpSurrCost	StdEpSurrCost	MaxEpSurrCost	MinEpSurrCost	CumulativeSurrCost	LogCumulativeSurrCost	SurrCostRate	CumulativeViolations	LogCumulativeViolations	ViolationRate	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	TestEpLen	Penalty	LogPenalty	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageVcVals	StdVcVals	MaxVcVals	MinVcVals	AverageQcVals	StdQcVals	MaxQcVals	MinQcVals	LossPi	DeltaLossPi	LossV	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	TotalEnvInteracts
20	-0.52983963	2.9741325	3.0098574	-7.9405017	1.0	0.0	1.0	1.0	201.0	544.0	2.7355988	0.8607595	1.0	0.0	1.0	1.0	544.0	2.7355988	0.8607595	544.0	2.7355988	0.8607595	-0.15283263	0.20732057	0.13424067	-0.49829507	1.0	0.0	1.0	1.0	181.25	2.915942907333374	0.46477901646596165	-0.2559437	1.0799538	2.7594824	-5.3081303	0.031972773	0.032214936	0.17954738	8.699037e-06	0.0368149	0.05072542	0.21422324	-0.018204108	-0.0008374816	-0.008493428	0.34074593	-0.11603811	0.8375186	0.010487208	0.1085	79.0	65.32285809516907	84000
21	0.99935746	2.9678154	8.158508	-3.6841178	1.0	0.0	1.0	1.0	205.76471	561.0	2.7489629	0.8591118	1.0	0.0	1.0	1.0	561.0	2.7489629	0.8591118	561.0	2.7489629	0.8591118	0.42647603	0.09838181	0.6045253	0.23737112	1.0	0.0	1.0	1.0	202.625	2.9640023708343506	0.47187854668916107	-0.08189351	1.0074754	3.4895306	-3.4364815	0.021538923	0.031125944	0.16737516	0.0	0.03647696	0.044604685	0.19773105	-0.016499016	-0.00069881976	-0.007183139	0.7168463	-0.319414	0.6988581	0.0052654655	0.081499994	79.0	68.52012896537781	88000
22	-0.3267591	3.2946284	4.0042267	-8.534502	1.0	0.0	1.0	1.0	194.36842	580.0	2.763428	0.85925925	1.0	0.0	1.0	1.0	580.0	2.763428	0.85925925	580.0	2.763428	0.85925925	0.3655812	0.10776117	0.55779463	0.22710921	1.0	0.0	1.0	1.0	193.625	3.0122337341308594	0.4788886678954799	0.12661238	0.9115687	3.2324824	-2.7971537	0.044686984	0.03791252	0.1310559	9.7067285e-05	0.034037158	0.040995568	0.18919003	-0.0059665516	-0.00067434646	-0.008796858	0.62002075	-0.39508137	0.6743514	0.007440567	0.082	79.0	71.77321696281433	92000
23	0.41844377	1.7464576	3.11421	-2.8060126	1.0	0.0	1.0	1.0	196.05882	597.0	2.7759743	0.85775864	1.0	0.0	1.0	1.0	597.0	2.7759743	0.85775864	597.0	2.7759743	0.85775864	0.34828436	0.10841531	0.46027356	0.14089948	1.0	0.0	1.0	1.0	187.75	3.060631036758423	0.48581097796128403	0.025991295	1.0174335	2.120382	-5.574507	0.031250283	0.03234919	0.120410874	0.00034293265	0.03712973	0.053838417	0.22210902	-0.016382027	-0.0005796291	-0.0072405464	0.29271057	-0.122821584	0.57964987	0.015067457	0.15599999	41.0	74.86118912696838	96000
24	0.7774381	1.3178772	2.7215054	-2.429335	1.0	0.0	1.0	1.0	183.73685	616.0	2.7895808	0.8567455	1.0	0.0	1.0	1.0	616.0	2.7895808	0.8567455	616.0	2.7895808	0.8567455	-0.028636932	0.07916036	0.08897792	-0.13924485	1.0	0.0	1.0	1.0	181.375	3.1091883182525635	0.49264702731854504	0.1863291	0.72149616	2.9628198	-2.2153873	0.022957694	0.030745098	0.11452821	0.0	0.03346899	0.044691585	0.18517464	-0.010412596	-0.00053644367	-0.011299498	0.15870835	-0.04382994	0.5364011	0.019380476	0.07	7.0	77.82399654388428	100000
25	1.0361094	1.7748983	3.4849164	-4.4100423	1.0	0.0	1.0	1.0	201.16667	634.0	2.8020892	0.85560054	1.0	0.0	1.0	1.0	634.0	2.8020892	0.85560054	634.0	2.8020892	0.85560054	-0.08172222	0.07885905	0.015667895	-0.19815104	1.0	0.0	1.0	1.0	182.25	3.1578996181488037	0.499398320739741	-0.00996072	0.74649173	1.4977173	-3.2073073	0.02697186	0.034036607	0.124733575	0.0	0.04174195	0.046128858	0.20019872	-0.0043666437	-0.00060959905	-0.008429578	0.23352602	-0.106577456	0.6095707	0.008607173	0.14175001	79.0	81.00638484954834	104000
26	0.6856523	1.4413618	2.7365582	-2.1234677	1.0	0.0	1.0	1.0	187.5	652.0	2.8142476	0.85452163	1.0	0.0	1.0	1.0	652.0	2.8142476	0.85452163	652.0	2.8142476	0.85452163	-0.48253766	0.027216738	-0.4345496	-0.53727454	1.0	0.0	1.0	1.0	179.375	3.206759452819824	0.5060663836169011	0.39320228	0.76588714	3.072711	-2.201902	0.034766648	0.02888293	0.12205443	6.1210354e-05	0.03370359	0.055539455	0.22659172	-0.014480408	-0.0005555935	-0.0057881847	0.17333147	-0.027360998	0.55555856	0.006657003	0.0895	79.0	84.22255110740662	108000
27	-0.3962198	1.4810578	2.146972	-3.4206617	1.0	0.0	1.0	1.0	191.05882	669.0	2.825426	0.8533163	1.0	0.0	1.0	1.0	669.0	2.825426	0.8533163	669.0	2.825426	0.8533163	-0.49500683	0.0324047	-0.4441036	-0.533571	1.0	0.0	1.0	1.0	185.5	3.2557621002197266	0.5126526633128362	0.18033332	0.6610059	1.9312115	-2.3217366	0.013672351	0.024933716	0.116799526	0.0	0.038979437	0.046312246	0.19044654	-0.018239256	-0.00055206474	-0.005437928	0.19453996	-0.07658302	0.55210096	0.016367842	0.1205	6.0	87.18498277664185	112000
28	-0.401773	1.8289841	4.065719	-3.231241	1.0	0.0	1.0	1.0	198.8421	688.0	2.8375885	0.85254025	1.0	0.0	1.0	1.0	688.0	2.8375885	0.85254025	688.0	2.8375885	0.85254025	0.073014885	0.017187642	0.10393523	0.047379676	1.0	0.0	1.0	1.0	181.0	3.3049018383026123	0.5191585646638331	-0.39236835	0.76458603	1.5294527	-3.1063828	0.022361878	0.028826995	0.13766076	0.0	0.034925394	0.050038032	0.21230577	-0.013344813	-0.0006775558	-0.009040423	0.23850596	-0.049914204	0.67754936	0.013080745	0.14175	79.0	90.36060047149658	116000
29	-0.07733937	1.2969941	2.0834548	-2.319998	1.0	0.0	1.0	1.0	183.1	708.0	2.8500333	0.8519856	1.0	0.0	1.0	1.0	708.0	2.8500333	0.8519856	708.0	2.8500333	0.8519856	0.09377454	0.018502254	0.12987594	0.07057614	1.0	0.0	1.0	1.0	172.5	3.354173421859741	0.5255855133117027	-0.33698076	0.71345425	1.1884812	-3.3375683	0.00892317	0.019255072	0.10289257	0.0	0.0319831	0.04846323	0.2190946	-0.014173791	-0.00064343424	-0.0099033145	0.17021337	-0.061486345	0.6433859	0.019961959	0.178	5.0	93.33887267112732	120000
30	0.06606741	1.7440832	2.860824	-3.7540772	1.0	0.0	1.0	1.0	178.55	728.0	2.8621314	0.851462	1.0	0.0	1.0	1.0	728.0	2.8621314	0.851462	728.0	2.8621314	0.851462	-0.21280152	0.033518724	-0.17088972	-0.2816437	1.0	0.0	1.0	1.0	166.75	3.4035708904266357	0.531934800629021	-0.19752905	0.7587905	2.4836264	-3.3421922	0.015964847	0.022053776	0.11575903	1.6430133e-05	0.032468285	0.04772565	0.2072915	-0.014038254	-0.00076854415	-0.0074438057	0.25504982	-0.026846528	0.7684951	0.015083554	0.13575	16.0	96.33622455596924	124000
31	-0.40268323	2.2652545	3.271892	-5.4437428	1.0	0.0	1.0	1.0	181.78947	747.0	2.8733206	0.8507973	1.0	0.0	1.0	1.0	747.0	2.8733206	0.8507973	747.0	2.8733206	0.8507973	0.079481766	0.023909425	0.10832832	0.02919367	1.0	0.0	1.0	1.0	179.25	3.453089714050293	0.5382078618162515	-0.014477066	0.6681631	2.116167	-2.871852	0.028815871	0.030490685	0.16188021	4.653949e-05	0.028192401	0.042865157	0.20119536	-0.011967033	-0.0007884139	-0.0043196105	0.3437805	-0.09353984	0.7883954	0.0015065422	0.0405	79.0	99.5142891407013	128000
32	0.21792772	2.4281793	4.0237913	-4.132178	1.0	0.0	1.0	1.0	205.05556	765.0	2.8836615	0.85	1.0	0.0	1.0	1.0	765.0	2.8836615	0.85	765.0	2.8836615	0.85	-0.8634196	0.886318	0.29511487	-1.560432	1.0	0.0	1.0	1.0	293.25	3.5027241706848145	0.5444059392400418	-0.33413905	1.0912498	2.1827776	-4.5280304	0.025626777	0.036441352	0.21854563	1.6451366e-05	0.038614385	0.047760274	0.21517155	-0.0037589706	-0.00086799636	-0.008342767	0.5065028	-0.19083397	0.8679541	0.0153538	0.14175	39.0	102.65486288070679	132000
33	-0.4972812	2.7680779	3.5077662	-5.5473905	1.0	0.0	1.0	1.0	215.625	781.0	2.892651	0.848913	1.0	0.0	1.0	1.0	781.0	2.892651	0.848913	781.0	2.892651	0.848913	-1.231157	0.9297572	0.38401514	-1.7794499	1.0	0.0	1.0	1.0	266.25	3.55246901512146	0.5505302986697518	-0.11992877	0.8609981	2.354346	-4.953448	0.034592986	0.043495495	0.2189072	5.8033354e-05	0.030864468	0.04225723	0.21894306	-0.0064785406	-0.0008413028	-0.014539284	0.44989774	-0.114445046	0.8412885	0.015604847	0.1025	28.0	105.72891020774841	136000
