Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	LogCumulativeCost	CostRate	AverageEpSurrCost	StdEpSurrCost	MaxEpSurrCost	MinEpSurrCost	CumulativeSurrCost	LogCumulativeSurrCost	SurrCostRate	CumulativeViolations	LogCumulativeViolations	ViolationRate	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	TestEpLen	Penalty	LogPenalty	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageVcVals	StdVcVals	MaxVcVals	MinVcVals	AverageQcVals	StdQcVals	MaxQcVals	MinQcVals	LossPi	DeltaLossPi	LossV	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	TotalEnvInteracts
20	-0.11803696	0.36580876	0.7336175	-1.75283	3.1231441	0.40456653	4.553244	2.2402678	38.376236	6429.384	3.8081694	2.7953842	3.1231441	0.40456653	4.553244	2.2402678	6429.384	3.8081694	2.7953842	2212.0	3.3447852	0.9617391	-1.9671636	0.10803645	-1.7859726	-2.059637	2.429895	0.23734507	2.7339916	2.0767288	129.625	2.882350206375122	0.4597467465876914	-0.11527801	0.2749146	0.49272138	-2.004742	60.707516	13.74088	89.743576	29.102201	-130.73453	62.774498	152.15265	-148.05496	-0.001405119	-0.0046675093	0.0172161	-0.0012500726	1.4052817	0.020492304	0.00875	3.0	62.72054576873779	84000
21	-0.1725485	0.4796532	0.8975074	-2.3104763	3.1666198	0.5614077	5.1448503	2.1408353	39.785713	6739.713	3.8286414	2.8058755	3.1666198	0.5614077	5.1448503	2.1408353	6739.713	3.8286414	2.8058755	2310.0	3.363612	0.9616986	-1.943883	0.121371925	-1.810619	-2.1427693	2.4030728	0.3184249	2.7942677	1.9272137	125.625	2.92974853515625	0.4668303457873102	-0.17358445	0.30935752	0.40583038	-1.964121	61.136353	14.027799	91.22303	25.353539	-136.22142	64.947556	158.48671	-154.2129	-0.0014020428	-0.006943934	0.029550746	-0.0026168171	1.4018663	0.01606008	0.01	3.0	65.80585718154907	88000
22	-0.073184185	0.42841566	0.9755953	-2.5880828	3.2237127	0.53909034	4.9015074	2.1352048	38.69307	7065.3076	3.849131	2.818232	3.2237127	0.53909034	4.9015074	2.1352048	7065.3076	3.849131	2.818232	2411.0	3.3821971	0.96170723	-2.0040884	0.13352703	-1.8372569	-2.208691	2.1924877	0.2846158	2.7157001	1.9386463	119.75	2.977560043334961	0.47386052791337996	-0.0788253	0.2708294	0.5485883	-2.4586957	62.17216	14.658784	91.40357	26.083694	-146.41168	59.299263	164.76515	-160.31526	-0.0013926681	-0.0061711026	0.021090385	-0.0016363887	1.3926802	0.015365861	0.05025	5.0	68.72736954689026	92000
23	-0.00044952042	0.79548275	2.4992301	-3.2817426	3.6963038	0.6819062	6.1137652	2.3974695	45.022987	7386.8857	3.8684614	2.843297	3.6963038	0.6819062	6.1137652	2.3974695	7386.8857	3.8684614	2.843297	2498.0	3.3975925	0.96150887	-2.040564	0.19072673	-1.7537462	-2.3401115	2.1968086	0.35878277	2.783514	1.8268013	112.375	3.0258026123046875	0.4808405934879225	-0.14069538	0.39480835	0.76461625	-2.3530207	62.044483	14.367787	92.0	26.0	-141.23335	81.603676	170.96196	-166.33733	-0.0014003199	-0.01060823	0.08306565	-0.015432642	1.4003918	0.015312048	0.206	10.0	71.64474964141846	96000
24	0.36826512	0.99747556	3.4053738	-2.0085402	4.615471	1.227968	8.229595	2.8641691	49.86076	7751.5083	3.8893862	2.891275	4.615471	1.227968	8.229595	2.8641691	7751.5083	3.8893862	2.891275	2577.0	3.4111145	0.9612085	-1.9556571	0.19668609	-1.7230767	-2.3138795	2.2039788	0.24247558	2.6825066	1.9296341	110.125	3.0748789310455322	0.4878280207247805	-0.05051268	0.4980222	1.3470575	-2.3149593	62.474403	14.370687	93.60334	25.856855	-150.21037	79.14593	177.06888	-172.27094	-0.0013959482	-0.008182643	0.17058864	-0.051395733	1.3959229	0.018550873	0.021499999	5.0	74.55422282218933	100000
25	0.4888352	1.0328833	3.2524364	-2.801103	4.5945244	1.161089	8.68528	2.8350348	51.68421	8100.692	3.9085221	2.9339702	4.5945244	1.161089	8.68528	2.8350348	8100.692	3.9085221	2.9339702	2653.0	3.4237373	0.96088374	-1.9198772	0.19571374	-1.6356695	-2.2163856	2.414124	0.18453714	2.7141628	2.1748238	107.625	3.125396966934204	0.4949051863520874	0.17412055	0.5813592	1.7754588	-2.9068296	62.914906	14.681662	93.0	24.02583	-158.61963	73.75583	183.11884	-178.1482	-0.0013864525	-0.011724835	0.1523993	-0.017862037	1.3864286	0.016572852	0.04675	5.0	77.46725749969482	104000
26	0.88493294	1.5730976	7.084531	-3.8782952	5.537851	2.7775605	21.992512	2.1649399	55.927536	8482.85	3.9285417	2.9932427	5.537851	2.7775605	21.992512	2.1649399	8482.85	3.9285417	2.9932427	2722.0	3.4348881	0.9604799	-2.235463	0.18692075	-2.0668414	-2.5568576	2.2133968	0.31938478	2.6461601	1.8255749	100.625	3.1771204471588135	0.5020336795878881	0.34262922	0.5247529	2.0267813	-2.2078636	64.48177	14.383583	92.0	26.0	-163.36636	79.44297	189.47525	-184.33182	-0.0013754033	-0.04407639	0.28108507	-0.041276522	1.3754436	-0.00017442717	0.17025	79.0	80.59693646430969	108000
27	0.7254146	1.4529037	3.5921667	-3.620129	6.178938	2.9862309	18.749752	2.1987915	62.596775	8867.57	3.9478047	3.057783	6.178938	2.9862309	18.749752	2.1987915	8867.57	3.9478047	3.057783	2784.0	3.4446692	0.96	-2.2453918	0.14869833	-2.063166	-2.4801276	2.245703	0.3184368	2.6227703	1.8401451	100.125	3.230438470840454	0.5092614735826739	0.29454082	0.784263	2.3837023	-2.7841969	62.43149	13.577076	92.0	24.0	-170.14015	80.732895	195.74136	-190.4267	-0.0013634432	-0.008213562	0.23461284	-0.030089915	1.3634317	0.024920274	0.0064999997	3.0	83.51391339302063	112000
28	0.92795706	1.9436516	5.5025654	-2.8294072	6.3269587	2.3725142	12.466574	2.0120711	70.74545	9215.554	3.9645214	3.114415	6.3269587	2.3725142	12.466574	2.0120711	9215.554	3.9645214	3.114415	2839.0	3.4531653	0.9594458	-2.1823044	0.1393096	-1.9621124	-2.422053	2.15311	0.3004888	2.5764694	1.8064709	100.0	3.285393238067627	0.5165873589496193	0.30210733	0.806694	2.858005	-2.6766627	62.518837	13.892836	91.83705	27.0	-179.05934	75.63736	201.9332	-196.44836	-0.001356136	-0.011306272	0.2722635	-0.030999988	1.3561592	0.032095086	0.015000001	2.0	86.41537284851074	116000
29	1.4257437	1.8864774	7.1063366	-3.4369469	7.9244537	6.2684855	35.362648	1.7826881	77.62	9611.776	3.9828036	3.1901016	7.9244537	6.2684855	35.362648	1.7826881	9611.776	3.9828036	3.1901016	2889.0	3.4607475	0.958845	-2.1306963	0.15658666	-1.9010637	-2.3952174	2.2607687	0.22431071	2.672184	1.8552132	100.375	3.341773509979248	0.5239770120745924	0.4883821	0.85300434	2.9725032	-2.7592764	64.491196	14.075371	91.13975	28.0	-180.48856	81.58476	208.03629	-202.38159	-0.0013444684	-0.004423577	0.29388767	-0.057980396	1.3444871	0.019507483	0.00075	1.0	89.33790707588196	120000
